RI,Na,Mg,AI,Si,K,Ca,Ba,Fe,Type,Type Name
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,building_windows_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,building_windows_non_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,vehicle_windows_float_processed
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,containers
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,tableware
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,headlamps
